pchembl_value_mean
5.94
7.43625
6.648000000000001
5.142
5.105
5.1325
5.8
5.635
5.42
5.5275
5.345
5.83
4.583333333333333
4.633333333333334
5.883333333333333
5.166666666666667
4.95
4.666666666666667
5.43
5.0
4.516666666666667
5.0
5.426666666666667
5.066666666666666
4.933333333333334
4.866666666666667
4.903333333333333
4.683333333333334
5.036666666666666
4.766666666666667
4.766666666666667
4.783333333333333
4.873333333333334
5.3500000000000005
4.5
5.1433333333333335
6.95
5.525
4.95
5.175
5.05
5.32
5.44
6.545
5.11
5.45
4.525
4.875
6.305
5.0
8.455
6.16
4.975
4.6
4.7
4.949999999999999
5.695
7.22
4.9
6.699999999999999
4.475
7.1499999999999995
8.625
5.15
5.2
4.8
5.77
4.875
4.5
6.715
6.04
6.285
6.13
6.17
7.06
5.31
5.025
4.824999999999999
5.785
5.48
5.300000000000001
4.8
6.38
6.41
5.38
5.26
5.52
7.22
5.98
6.38
5.81
5.7
4.0
5.52
4.85
6.05
5.04
4.75
6.0
6.6
5.08
6.4
6.6
4.5
6.33
4.52
5.75
6.16
6.37
6.0
6.13
5.57
5.77
5.17
4.99
4.97
5.55
5.32
5.3
5.37
4.92
6.22
5.28
6.2
6.1
6.8
6.07
6.24
6.82
6.05
5.85
5.4
6.16
5.92
5.22
6.16
6.62
5.78
5.61
6.96
6.7
7.1
6.11
6.0
5.92
6.44
5.92
6.3
6.09
6.72
6.22
6.8
5.7
5.25
6.3
6.0
6.55
6.22
5.7
4.17
6.42
5.52
5.05
6.0
4.89
6.52
4.02
6.19
6.36
5.78
5.47
5.6
5.58
4.66
5.16
5.61
5.64
5.68
5.75
6.0
5.72
6.58
4.99
6.13
4.6
5.46
6.37
5.0
6.3
4.5
5.55
5.7
5.19
6.2
4.97
5.28
5.15
5.26
6.64
6.0
8.0
6.69
6.33
6.11
4.75
4.89
5.71
5.9
6.42
6.6
6.59
6.0
4.03
4.19
4.22
4.1
5.84
6.09
5.96
6.03
5.32
4.17
5.84
6.33
6.2
6.47
7.7
7.7
7.0
6.47
5.51
4.8
6.37
5.89
6.57
4.32
4.4
5.58
4.6
4.6
7.29
6.41
6.42
6.42
6.75
6.71
5.0
6.0
6.9
8.5
7.8
8.0
6.0
6.28
6.36
7.7
7.6
5.5
6.29
6.66
6.01
4.3
6.05
6.1
6.1
5.75
6.3
6.4
5.23
5.82
6.22
5.0
5.8
5.89
6.0
5.96
4.82
5.62
4.85
5.5
5.71
5.9
6.59
6.49
6.56
6.36
6.13
6.22
6.75
6.64
6.82
5.97
4.24
5.92
5.17
6.0
5.01
5.21
4.94
4.9
4.18
4.93
5.1
5.57
6.1
5.22
5.7
4.82
5.14
5.4
5.29
5.64
4.55
6.56
4.33
5.02
5.33
6.72
5.72
4.82
6.52
6.24
4.08
5.96
5.21
6.52
5.7
6.3
4.79
6.22
6.05
5.61
4.98
5.0
6.3
6.62
6.12
4.75
5.85
5.07
5.24
4.72
5.11
4.6
6.3
5.39
5.52
5.52
5.68
5.4
6.0
5.62
5.12
7.4
5.7
6.84
5.54
6.64
5.74
6.76
5.7
5.44
7.44
6.28
6.82
4.11
4.82
4.5
5.5
5.22
5.7
4.75
5.6
5.89
5.8
5.52
7.48
4.9
5.25
6.82
4.93
6.82
6.82
6.82
6.0
4.89
5.3
5.1
5.48
5.82
7.26
6.0
5.2
5.25
5.32
5.44
5.0
5.85
6.43
6.1
5.0
6.3
4.97
6.4
6.44
5.91
6.32
6.2
5.9
5.97
5.94
5.0
4.96
5.3
5.27
5.15
4.68
5.68
4.13
5.46
5.6
4.77
5.89
5.04
5.3
5.17
5.22
5.14
5.96
5.89
6.05
6.0
4.97
5.52
8.1
4.3
4.3
5.1
5.89
5.6
5.5
5.92
5.08
5.82
5.43
5.74
6.03
6.24
6.3
5.18
6.22
4.3
7.09
5.22
4.3
7.38
5.18
4.93
5.46
5.72
5.75
4.13
5.06
4.96
5.92
6.22
4.75
4.78
4.78
5.96
4.18
5.06
5.1
5.5
4.92
5.52
4.64
5.32
5.11
5.62
5.77
4.89
4.3
5.03
5.47
4.37
6.69
5.72
5.77
5.56
8.3
6.58
6.57
6.54
5.32
5.7
4.3
5.08
4.69
4.3
6.82
5.41
6.1
5.34
6.0
6.16
5.75
6.08
6.58
6.4
6.0
5.8
6.22
5.89
4.12
6.82
4.76
5.48
5.0
5.85
7.26
5.47
5.72
5.8
4.6
5.0
6.52
5.39
4.92
5.8
7.75
5.82
5.89
4.9
6.6
6.8
6.0
4.09
6.1
6.16
6.05
5.28
7.32
6.03
5.97
6.26
5.92
5.07
7.8
5.3
4.41
5.55
5.24
4.01
5.64
4.72
5.89
4.89
5.06
7.35
5.63
4.16
5.32
4.42
4.15
7.28
4.05
4.3
5.37
6.22
5.75
5.72
7.41
4.11
8.09
6.31
4.32
5.58
5.3
5.54
5.72
5.36
5.6
6.32
4.8
5.62
6.0
5.43
5.34
5.39
5.36
5.83
5.78
5.55
6.62
6.6
5.19
7.26
7.89
5.24
