OPENADMET_CANONICAL_SMILES,OPENADMET_INCHIKEY
COC1=CC=C(S(=O)(=O)N(CCO)[C@@H]2CS(=O)(=O)C[C@H]2O)C(OC)=C1,NERDWBFMMVMNGL-VXGBXAGGSA-N
CC(C1=NC2=C(N1)N(C)C(=O)N(C)C2=O)C1=NC2=C(N1)N(C)C(=O)N(C)C2=O,ASJSLIDILQUQBJ-UHFFFAOYSA-N
O=C1NC=NC2=C1N=C(N1CCN(CCO)CC1)N2[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O,NSJDMSBFUJXXCX-NFOTXUCKSA-N
O=C(NCCCCCCNC(=O)N[C@H](CO)C(=O)O)N[C@H](CO)C(=O)O,WUBSWIDHCRRNAC-NXEZZACHSA-N
COC1=CC=C(S(=O)(=O)N(CCN)[C@@H]2CS(=O)(=O)C[C@H]2O)C(OC)=C1,WKIJJMXPRXJOQB-VXGBXAGGSA-N
CC(=O)N1CCN(C(=O)CCCCN)CCCCOC[C@@H](O)[C@H](O)[C@@H](O)C1,UTVDFYMTEDHCEE-LZLYRXPVSA-N
O=C1NN=C(SC[C@@H](O)[C@@H](O)CSC2=NNC(=O)NC2=O)C(=O)N1,QCQRWKIWTYJRLR-ZXZARUISSA-N
COC(=O)C1=CC(=O)N2C=NC3=C(N=CN3[C@H]3O[C@@H](CO)[C@@H](O)[C@@H]3O)C2=C1,KWIHOMDLMLPIHT-AETLKFDBSA-N
C[C@@H](O)CN(CCN(C[C@@H](C)O)C[C@@H](C)O)CCN(C[C@@H](C)O)C[C@@H](C)O,LWMWZNOCSCPBCH-FVVUREQNSA-N
N[C@@H]1N=CN[C@@H]2[C@@H]1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,IIXDONAKNVHTJJ-RKSCPOPVSA-N
CC(=O)O[C@@H]1[C@H]2OC(=O)[C@@H](OC(C)=O)[C@H]2O[C@@H]1N1C=NC2=C1C(=O)NC(=O)N2,ZECWZCNFRIDGKJ-UNLLLRGISA-N
CC(=O)O[C@H]1[C@@H](OC(C)=O)[C@@H](C)O[C@@H](N2N=CC(=O)NC2=O)[C@H]1OC(C)=O,BCNBZVDVTAVRER-KOXBNBCLSA-N
CC(=O)N[C@]1(O)[C@H](O)O[C@H](CO[C@@H]2C[C@H](O)[C@H](O)[C@H](CO)O2)[C@H](O)[C@H]1O,QHNVYQVNGPNWRK-CFVKKQISSA-N
NC1=NNC2=NC(=O)C(C3(C4=NN5C(N)=NNC5=NC4=O)CCCC3=O)=NN12,DAJKOXDMASJMEF-UHFFFAOYSA-N
O=C1NN=C(SC2=NC=NC3=C2N=CN3[C@H]2O[C@@H](CO)[C@H](O)[C@@H]2O)C(=O)N1,VDVPCPQPPNLUPC-WKQLFWEXSA-N
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)NC1=CC=C(CO)C=C1,VPXFRPRRAXTBSH-KWBADKCTSA-N
O=C1NC(=O)C2=C(N1)N([C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O)C(OCC1=CC=CC=C1)=N2,VEPFANMEAWRAIX-LIBKGXAOSA-N
CC(C)C12CN3CC(C(C)C)(CN(C1)C3[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO)C2=O,WOPHSSJTAPPKNL-BZTCOXBISA-N
CC(=O)N[C@H]1[C@@H](O)[C@@H](C[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@H]1O,RBZCOGPYQXYJGM-TVPRIHSRSA-N
CCOC(=O)[C@H]1CN(CCCN2C[C@@H](C(=O)OCC)C(=O)C2=O)C(=O)C1=O,IFWPNTJAGXCKEW-PHIMTYICSA-N
CC1=CC=C(C(=O)O)C=C1S(=O)(=O)NCCN[C@@H]1CS(=O)(=O)C[C@@H]1O,SBRWRKKPWPUDHG-NEPJUHHUSA-N
