OPENADMET_CANONICAL_SMILES,OPENADMET_INCHIKEY
O=C(N[C@H]1CCS(=O)(=O)C1)OCCOC(=O)N[C@H]1CCS(=O)(=O)C1,PXXCTNDLYZCAFC-UWVGGRQHSA-N
O=C(CN1C=NN=N1)N1CCN(CC2=CC=CC=N2)[C@@H]2CS(=O)(=O)C[C@@H]21,RMWXDAPSUWFLOY-KGLIPLIRSA-N
COCC(=O)N1CCN(CC(=O)NC2=CN(C)N=C2)[C@H]2CS(=O)(=O)C[C@H]21,LSXDWHSSLNNXNW-QWHCGFSZSA-N
CCN1C=CC(C(=O)N[C@H]2C[C@H](C(=O)N3CCN(CCO)CC3)C[C@@H]2O)=N1,IYFNOXWJKWQHEH-BPUTZDHNSA-N
NC1=NN=C(SCC(=O)N2CCCN(C(=O)CN3C=NN=N3)CC2)S1,DACYDXWEBAKNDP-UHFFFAOYSA-N
CN1C=C(S(=O)(=O)NCC2=CC=C(N3CCOCC3)N=C2)C(=O)N(C)C1=O,XQIOVMBLIVZDNW-UHFFFAOYSA-N
CC1=CC(=O)C=C(C(=O)N2CCN(C(=O)CN(C)C)[C@@H]3CS(=O)(=O)C[C@@H]32)O1,QMEWHCHHSXCYSY-KGLIPLIRSA-N
CC(=O)N[C@@H]1[C@H](OC2=C[C@@H]3OC(=O)C=C(C)[C@@H]3C=C2)O[C@H](CO)[C@H](O)[C@@H]1O,LLFCSUYBSLLXPO-GCLULJIHSA-N
CNC(=O)CN1C[C@@H]2COC[C@]2(C(=O)NCC2=NN=NN2C2=CC=CC=C2)C1,OJIRZGHKIBMGQB-FZKQIMNGSA-N
CN1[C@@H]2O[C@H]3O[C@H]4[C@H](O[C@H]3O[C@@H]2N(C)S1(=O)=O)N(C)S(=O)(=O)N4C,WYGDRTHBFXGXAZ-JFFSLAIJSA-N
N[C@@H]1CS(=O)(=O)[C@H]2CN(S(=O)(=O)C3=CC=C4OCC(=O)NC4=C3)C[C@@H]12,SDKSOKMKWFNZGZ-CWSCBRNRSA-N
CN1[C@@H]2OC3O[C@@H]4[C@H](OC3O[C@@H]2N(C)S1(=O)=O)N(C)S(=O)(=O)N4C,WYGDRTHBFXGXAZ-QGPWORDESA-N
CN1C(N)=C(C(=O)CN2CCCC[C@H]2CNS(C)(=O)=O)C(=O)N(C)C1=O,YHKIUMRTIKJCKL-JTQLQIEISA-N
NC1=NC(=O)C2=C(N1)N([C@@H]1O[C@H](CO)[C@H](O)[C@@H]1O)C(OCC1=CC=CC=C1)=N2,RNSGUQLXDMZREX-CKRXIKOQSA-N
CN1CCN(C2=NC3=C(N=C(N)NC3=O)N2[C@@H]2O[C@H](CO)[C@H](O)[C@H]2O)CC1,HDCQGHNJHFUBMS-ISCDUZKHSA-N
O=C(CC1=NNC(=O)C2=CC=CC=C12)NCC(=O)N[C@H]1CCS(=O)(=O)C1,MQJKWTGUPQDHLT-JTQLQIEISA-N
CC1(C)NC(=O)N(C[C@@H](O)CN2CCN([C@H]3CCS(=O)(=O)C3)CC2)C1=O,UDNNOADCVNBNNQ-STQMWFEESA-N
COC(=O)C[C@@H]1C(=O)NCCN1C(=O)C1=CN=C2C(=C1)C(=O)N(C)C(=O)N2C,AJSSCBTWIURNFJ-LLVKDONJSA-N
CN1C(=O)C=C(N2CCN(C(=O)CN3C=NC4=NC=CC=C4C3=O)CC2)NC1=O,FRSSHGWQIXRKAT-UHFFFAOYSA-N
O=S1(=O)CC[C@@H](S(=O)(=O)CCS(=O)(=O)[C@@H]2CCS(=O)(=O)C2)C1,FZTLMBCIFYIATA-NXEZZACHSA-N
CN1C(NC(=O)C2CN(C3=CC(N4C=NC=N4)=NC=N3)C2)=CC(=O)N(C)C1=O,WOBCLJVAWSMKPQ-UHFFFAOYSA-N
CN1N=CN=C1CCNC1=NC=CC(N2CCN[C@@H]3CS(=O)(=O)C[C@@H]32)=N1,NYNWLWRAMDJZOO-NEPJUHHUSA-N
CN(C)C(=O)C[C@H]1CN2C[C@H](NC(=O)C3=NNC(N4C=NN=N4)=C3)C[C@H]2CO1,HHVJLGTXRHPLNM-WOPDTQHZSA-N
CN(C)CCN1CC2(CCN(C(=O)CC3=CNC(=O)NC3=O)CC2)OC1=O,IVPRRWJVHDPXRP-UHFFFAOYSA-N
CS(=O)(=O)N1CCO[C@@H](CNC(=O)CC2=CC=C(N3C=NN=N3)C=C2)C1,UCMSSUWZHTUTDH-AWEZNQCLSA-N
CC(=O)N[C@@H]1[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H](CO)O[C@@H]1O,HMQPEDMEOBLSQB-IQKNWYLPSA-N
O=C1CN(S(=O)(=O)C2=CC=C(C(=O)NN3C=C(O)NC3=O)C=C2)CCN1,AMUUXXORNCQCQJ-UHFFFAOYSA-N
CN(C)S(=O)(=O)C[C@@H]1CN(C(=O)C2=CN=C(N3CCOCC3)N=C2)C[C@H]1O,ABHKWOPSTCLOMO-UONOGXRCSA-N
COC(=O)C[C@@H]1O[C@H](N2C=C(F)C(=O)NC2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,JBEJFKUHVMAFRY-RSXIPKFTSA-N
CC(=O)N1C2C3N(C(C)=O)[C@H]4[C@@H](N3C(C)=O)N(C=O)[C@H]([C@H]1N4C=O)N2C(C)=O,SQDRIYSMLYEMBN-KJKRZNOVSA-N
COCCN1C(N)=C(C(=O)CN2CCN(C(=O)C3CC3)CC2)C(=O)NC1=O,WDAVTGNGJPDOFE-UHFFFAOYSA-N
COCCN1N=C(C(=O)N2CCN([C@@H]3CCS(=O)(=O)C3)CC2)C=CC1=O,FJUXOMXKRMIMLV-CYBMUJFWSA-N
CC(=O)N[C@H]1[C@@H]([C@H](O)[C@H](O)CO)O[C@@](OC2=CC=CC=C2)(C(=O)O)C[C@H]1O,FLOVUNWVDMMYKY-SDMOBSHPSA-N
CN(C)S(=O)(=O)C[C@@H]1CN(C(=O)C2=NN(C)C3=C2CC(=O)CC3)C[C@@H]1O,XUKKGVXPSCIOIG-HZMBPMFUSA-N
CCOCC(=O)N1C[C@@H]2CN(C(=O)CCCS(N)(=O)=O)C[C@@]2(CO)C1,PPOUTFCWFGJXPM-WFASDCNBSA-N
C[C@H](CNC(=O)[C@@H]1CC[C@H](CN2C=NC3=C(N)N=CN=C32)O1)S(N)(=O)=O,ACKLSRIYQUZCPM-BBBLOLIVSA-N
C[C@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O,VDYDCVUWILIYQF-FXQIFTODSA-N
CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2NC(C)=O)[C@@H]1O,USJPBCYUZSGJII-ZUQAIFENSA-N
CN1C(C(=O)N2CCC([C@@H](O)CN3CCOCC3)CC2)=CC(=O)N(C)C1=O,LJOINLGAZMPMOI-HNNXBMFYSA-N
CC(=O)N[C@@H]1[C@H](OC2=C[C@@H]3OC(=O)C=C(C)[C@@H]3C=C2)O[C@H](CO)[C@@H](O)[C@H]1O,LLFCSUYBSLLXPO-HXFFDIRSSA-N
O=C(O[C@@H]1[C@H](O)[C@@H](O)[C@H](OC(=O)C2=CC=CN=C2)[C@@H](O)[C@H]1O)C1=CC=CN=C1,NCZNDBZLAYJFKO-FWXGHANASA-N
C1CN2CCN1CN1CCN(CC1)CN1CCN(CC1)CN1CCN(CC1)C2,PIERQWFELIIRRN-UHFFFAOYSA-N
CN(C)C(=O)CN1CCN(S(=O)(=O)CC[C@@H]2CCS(=O)(=O)C2)CC1,NEGOMSRADVGBIS-ZDUSSCGKSA-N
CC(C)[C@@H]1CN2C[C@H](NS(=O)(=O)C3=CN(C)C(=O)N(C)C3=O)C[C@H]2CO1,PJVJAUHHPRTGAF-AGIUHOORSA-N
CN(C)CC(=O)N1CCN(CC(=O)N2CCCCC2)[C@H]2CS(=O)(=O)C[C@H]21,ISFOQKDBDAHFHG-LSDHHAIUSA-N
NC1=NC(=O)C2=C(N1)N([C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C(OCC1=CC=CC=C1)=N2,RNSGUQLXDMZREX-SDBHATRESA-N
CN1C=C(S(=O)(=O)N2CCC[C@@H]2C(=O)NCC(F)(F)F)C(=O)N(C)C1=O,QNJUCXPRLUZOTJ-MRVPVSSYSA-N
CC(=O)N1CCN(C2=NC=CC(N3CCN[C@@H]4CS(=O)(=O)C[C@@H]43)=N2)CC1,QGPRIOMWYWGVQX-KGLIPLIRSA-N
CC1=NN2C(=O)C(C(=O)N[C@@H]3COC[C@H]3CS(=O)(=O)N(C)C)=CNC2=C1,CFPRWSNIKBIMOJ-CMPLNLGQSA-N
CNC(=O)C(=O)NC[C@H]1OCCN1S(=O)(=O)C1=CC=C2OCCOC2=C1,LXWZZSFCZOFYML-CYBMUJFWSA-N
CN1C=C(S(=O)(=O)N2CCN(C(=O)N3CCCCC3)CC2)C(=O)N(C)C1=O,ZFDYWSBPDDBAGJ-UHFFFAOYSA-N
O=C(CN1C[C@@H]2CN(C(=O)CCN3C=NN=N3)C[C@]2(CO)C1)N1CCOCC1,MUZZGCMVQOJEOE-PBHICJAKSA-N
O=P(O)(O)C(CNCC(P(=O)(O)O)P(=O)(O)O)P(=O)(O)O,BTMAVFGOWRQDNT-UHFFFAOYSA-N
C[C@@H](OC(=O)/C=C/C(=O)O[C@H](C)C(=O)N1CCNC1=O)C(=O)N1CCNC1=O,XPMWSUIIPKAYME-HIHHVFROSA-N
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@@H]1O,ZJUKTBDSGOFHSH-HSOHWKKZSA-N
CN1N=CN=C1CCNC1=NC=CC(N2CCN[C@H]3CS(=O)(=O)C[C@H]32)=N1,NYNWLWRAMDJZOO-NWDGAFQWSA-N
O=C(O)CC[C@H](NC(=O)CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,WDGMFAPGDZPKQH-YUMQZZPRSA-N
CCOC(=O)N1CCN(C(=O)CN2N=CC(N3CCNCC3)=CC2=O)CC1,IIGDMUGBPLNDLG-UHFFFAOYSA-N
CC1=NN=C(SCC(=O)N2CCN(CCO)[C@@H]3CS(=O)(=O)C[C@@H]32)O1,NOPMCPBDOCQBNL-MNOVXSKESA-N
CC(=O)N[C@H]1[C@@H](O[C@@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H](CO)O[C@H]1O,HMQPEDMEOBLSQB-UTFMKMDASA-N
CN1C(N)=C(C(=O)CN2C(=O)C3=CC=CC=C3S2(=O)=O)C(=O)N(C)C1=O,GBGTXBWWAMEDLU-UHFFFAOYSA-N
CN(CCO)CC(=O)N1CCN(CC2=CC=CC=N2)[C@@H]2CS(=O)(=O)C[C@@H]21,LUOKAHZSXNTYIY-CVEARBPZSA-N
CN1C=NC(S(=O)(=O)N2CCN(C3=NC=CC=N3)[C@@H]3CS(=O)(=O)C[C@@H]32)=C1,PBWXLLXWWAQZNQ-NEPJUHHUSA-N
COCC(=O)N1CCN(CC2=NN3C=CC=NC3=N2)[C@@H]2CS(=O)(=O)C[C@@H]21,WYZMJBZRQMTBSN-NEPJUHHUSA-N
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(CO)=CC[C@H]12,IBFYXTRXDNAPMM-BVTMAQQCSA-N
CN(C[C@H](O)COC(CN1CCOCC1)CN1CCOCC1)S(=O)(=O)O,QMLNZBDTBAHOJN-AWEZNQCLSA-N
C[C@H]1[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)OC=C(C(=O)O)[C@H]2C[C@@H]1O,JNNGEAWILNVFFD-OZFVSFPVSA-N
O=C(CC1=CC=C(N2C=NN=N2)C=C1)NCC(=O)N[C@@H]1CCS(=O)(=O)C1,WZYDMGWRTDBNFE-GFCCVEGCSA-N
CC1=NC=C(S(C)(=O)=O)C(N2C[C@@H](CS(=O)(=O)N(C)C)[C@H](O)C2)=N1,OLYXBKHJFHYTGO-WDEREUQCSA-N
CN1C(=O)C2=CC(S(=O)(=O)N3CCOC[C@H](C(=O)O)C3)=CC=C2N(C)C1=O,AHXPBIJKEOSIRH-SNVBAGLBSA-N
C[C@@]1(C2=CC=CC(N3C=NN=N3)=C2)NC(=O)N(CC2=NC(N)=NC(N)=N2)C1=O,VRORHMVAKGJGJA-HNNXBMFYSA-N
CN1C=N[C@H]2[C@H]1C(=O)N(CCN1C(=O)C3=C(N=CN3C)N(C)C1=O)C(=O)N2C,ZQYJZIQYJJRSMA-GXSJLCMTSA-N
CN1C(=O)C2=C(N=C(CN3CCOCC3)N2CCN2CCOCC2)N(C)C1=O,FMNIBPJRQMTRRS-UHFFFAOYSA-N
CN1CCN([C@H]2CCN(C(=O)CC3=CNC(=O)NC3=O)C[C@H]2CCCO)CC1,UFZPWEAFWRNCCE-ZBFHGGJFSA-N
CCOC(=O)N1CCN(C(=O)CN2C=NC3=C2N(C)C(=O)N(C)C3=O)CC1,OQLQFPIQAGMWPB-UHFFFAOYSA-N
C[C@@H]1CN(CC2=NN=NN2CC(=O)N2CC(N3CCOCC3)C2)C[C@H](C)O1,WOXPBXZXOLZSCC-OKILXGFUSA-N
CSCC(=O)N1C[C@@H]2CN(C(=O)CN3C(O)=CNC3=O)C[C@@]2(CN(C)C)C1,FBIHVQFHXOOAKH-SJCJKPOMSA-N
CC1=NC(=O)C(C(=O)N2CCN(C(=O)C3CC3)[C@@H]3CS(=O)(=O)C[C@@H]32)=CN1,ASFYJAJDMQYBBW-OLZOCXBDSA-N
CC1=CC=C(S(=O)(=O)N2CCCO[C@@H]2CNC(=O)C(=O)NCCO)C=C1,SUPSVHDQJWZXQR-CQSZACIVSA-N
CN1C=C(S(=O)(=O)N2CCNC(=O)[C@H]2C2=CC=CC=C2)C(=O)N(C)C1=O,LIGHHVXYBKTBIQ-CYBMUJFWSA-N
COCC(=O)N1CCC2=C(N=CN2)C12CCN(C(=O)[C@H]1CNC(=O)N1)CC2,BLTVMWFZZCAAAY-GFCCVEGCSA-N
CN(C)CCNC(=O)C(=O)NC[C@H]1OCCN1S(=O)(=O)C1=CC=CS1,IMNFGLQRCMTIFP-LLVKDONJSA-N
CC(=O)OC[C@H]1O[C@@H](C(N)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,HCTJYUJESYMOGS-MBJXGIAVSA-N
CN1C(=O)C2=C(N=C(CN3CCC(C(N)=O)CC3)N2CC(N)=O)N(C)C1=O,IABGQPMMPNFQMB-UHFFFAOYSA-N
CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]2NC(C)=O)[C@@H]1O,USJPBCYUZSGJII-QXZQVSQWSA-N
CC(=O)N[C@H]1[C@H](OC2=C[C@H]3OC(=O)C=C(C)[C@@H]3C=C2)O[C@H](CO)[C@@H](O)[C@@H]1O,LLFCSUYBSLLXPO-XQVVMAFLSA-N
CN1C=C(S(=O)(=O)N2CCCN(S(=O)(=O)N3CCOCC3)CC2)C=N1,CURMLEPAGYRQHV-UHFFFAOYSA-N
CC(=O)N1C2C3N(C(C)=O)[C@@H]4[C@@H](N3C(C)=O)N(C=O)[C@H]([C@H]1N4C=O)N2C(C)=O,SQDRIYSMLYEMBN-DJWVEFBQSA-N
CN1[C@@H]2OC3O[C@@H]4[C@@H](OC3O[C@H]2N(C)S1(=O)=O)N(C)S(=O)(=O)N4C,WYGDRTHBFXGXAZ-OUUZFZCISA-N
NC(=O)COC1=CC=C(S(=O)(=O)NCCOCCN2C(O)=CC=C2O)C=C1,GMQPLZNSZAHTLI-UHFFFAOYSA-N
C[C@@H]1CN(CC2=NC3=C(C(=O)N(C)C(=O)N3C)N2C[C@H](O)CO)C[C@@H](C)O1,NNOKNVFDDHLUBH-UTUOFQBUSA-N
CN1C(C2CCN(S(C)(=O)=O)CC2)=NN(CC(=O)N2CCOCC2)C1=O,VBFUSFROBUPFLP-UHFFFAOYSA-N
COCC(=O)N1C[C@H]2[C@H](NC(=O)CCCN3C=NC=N3)CS(=O)(=O)[C@H]2C1,LTELFHUFLTUIQK-XQQFMLRXSA-N
C[C@@H](C(=O)NC1CC1)N1CCN(S(=O)(=O)C2=CN(C)C(=O)N(C)C2=O)CC1,JOLCBRIWNYDETJ-NSHDSACASA-N
CCCN1C(N)=C(C(=O)CN2CCN(CC(=O)NC3CC3)CC2)C(=O)NC1=O,GPOFFJKQGIWASA-UHFFFAOYSA-N
CC(=O)[C@@H](O)[C@H]1O[C@@](O)(C(C)=O)[C@@](O)(C(C)=O)[C@](O)(C(C)=O)[C@@]1(O)C(C)=O,XIDZOJLMCZAHNF-FWXGHANASA-N
CN(C)C(=O)C1=CC=C(N2CCN(S(=O)(=O)N3CCOCC3)CC2)N=N1,VDMZCMWXPJVQOZ-UHFFFAOYSA-N
CN1C=C(S(=O)(=O)N2CCN(C(=O)C3=CC=CO3)CC2)C(=O)N(C)C1=O,KLZRBKCURHEAGF-UHFFFAOYSA-N
COCCN1CCN(C(=O)CN2C(C)=CC(C)=NC2=O)[C@H]2CS(=O)(=O)C[C@H]21,KNSBSMUMIPSTMS-CABCVRRESA-N
C[C@@]12C[C@@]3(O)O[C@@H](O1)[C@]1(CO)[C@H]3C[C@@]12O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,LTXNSYGCFNCQRW-DKCIEBLWSA-N
CN1[C@@H]2O[C@@H]3O[C@H]4[C@@H](O[C@@H]3O[C@H]2N(C)S1(=O)=O)N(C)S(=O)(=O)N4C,WYGDRTHBFXGXAZ-DHRMIASJSA-N
O=C(CCCN1C(=O)C2=CC=CC=C2C1=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O,BFGRGLLJTIQZQG-GQBZBPDPSA-N
CN(C)C(=O)C1=CC=C2OC[C@@H](CC(=O)NC(CO)(CO)CO)N(C)C2=C1,RYMVGWIHXHLHHW-CYBMUJFWSA-N
COC(=O)C1=CO[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H]2[C@@H](C)[C@@H](O)C[C@H]12,AMBQHHVBBHTQBF-SESPWBGXSA-N
CN(C)C1=NC(CNC(=O)CN2C(O)=CC=C2O)=NC(N2CCOCC2)=N1,WITOVHFMCAOGFB-UHFFFAOYSA-N
COCCN1C(CN2CCC(C(N)=O)CC2)=NC2=C1C(=O)N(C)C(=O)N2C,RUEQPHSTCIZZGF-UHFFFAOYSA-N
OCCN1CCOCCOCCOCCN(CCO)CCOCCOCC1,CGSNOSZWDYWUAQ-UHFFFAOYSA-N
CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@@H]2NC(C)=O)[C@@H]1O,USJPBCYUZSGJII-FLLDEYGJSA-N
O=C([C@H]1CCC2=NC=NN2C1)N1CCN(S(=O)(=O)N2CCOCC2)CC1,XJOUQZHLPJHPRK-ZDUSSCGKSA-N
N=C(N)NCCC[C@H](NC(=O)C1=CC=CC=C1)C(=O)NCC(=O)NCC(=O)O,QAYUGHWUEAJNPD-LBPRGKRZSA-N
NC1=NC(=O)N([C@H]2C[C@H](O)[C@@H](CO[P@@](=O)(O)OP(=O)(O)O)O2)C=C1,FTDHDKPUHBLBTL-SHYZEUOFSA-N
CC(=O)O[C@H]([C@H](OC(C)=O)[C@@H](OC(C)=O)C(=O)O)[C@H](OC(C)=O)C(=O)O,RITGLGZGMSTJIQ-IWDIQUIJSA-N
CC(=O)OC[C@@H]1O[C@H](N2C=NC(C(N)=O)=C2N)[C@H](OC(C)=O)[C@H]1OC(C)=O,ZGVQACKXOOWCLS-BTABJRDXSA-N
O=C(O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2[C@@H](CO)CC[C@H]12,XJOPDXRZTFGTIW-FDXZEBRRSA-N
COCCN1N=NC([C@H]2CN(C(=O)C3=CC(=O)N(C)C(=O)N3C)CCO2)=N1,OCVMCGPWVJZOMN-LLVKDONJSA-N
O=C(OC1[C@@H](O)[C@@H](O)C(OC(=O)C2=CC=CN=C2)[C@H](O)[C@@H]1O)C1=CC=CN=C1,NCZNDBZLAYJFKO-DJWVEFBQSA-N
COC(=O)C1=CO[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H]2C(CO)=CC[C@H]12,IBFYXTRXDNAPMM-FZEIBHLUSA-N
CC(=O)O[C@@H]1[C@@H]2OC(=O)[C@@H](OC(C)=O)[C@H]2O[C@@H]1N1C=NC2=C1NC(=O)NC2=O,KIADEQNQSFCQGC-DUYQIWHPSA-N
CN(C)CCN1C[C@@H](C(=O)N2CCN(S(=O)(=O)N(C)C)CC2)CC1=O,WYGBNPVAGLSVGR-ZDUSSCGKSA-N
CN1C=NC=C1CN(CCO)C(=O)[C@H]1[C@@H]2CC[C@@]3(CN(CCN)C(=O)[C@@H]13)O2,MBWNQKIBBXZPPG-AFIMGQEJSA-N
CC(=O)O[C@@H]([C@H](OC(C)=O)[C@H](OC(C)=O)C(=O)O)[C@H](OC(C)=O)C(=O)O,RITGLGZGMSTJIQ-BJDJZHNGSA-N
CC(=O)OC[C@@H]1O[C@H](N2C=NC(C(N)=O)=C2N)[C@H](OC(C)=O)[C@@H]1OC(C)=O,ZGVQACKXOOWCLS-NFOTXUCKSA-N
CN1C(=O)C2=C(N=CN2CC(=O)N2CC[C@@H](N3C(O)=COC3=O)C2)N(C)C1=O,DPGQQCCAEZXHSU-SECBINFHSA-N
COC(=O)[C@@H]1[C@H](C(=O)OC)[C@H]2C(=O)[C@H]3[C@H](C(=O)OC)[C@H](C(=O)OC)[C@@H]3C(=O)[C@H]12,ABROGWXICUPYEM-ZXEOIRBCSA-N
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,ZJUKTBDSGOFHSH-WFMPWKQPSA-N
COC(=O)C1=CO[C@@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H]2C(CO)=CC[C@@H]12,IBFYXTRXDNAPMM-QGCDZIMUSA-N
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(CO)=CC[C@@H]12,IBFYXTRXDNAPMM-GAENFNLHSA-N
CC1=CN(CC(=O)N2CCCN(C(=O)CN3CCOC3=O)CC2)C(=O)NC1=O,JBCVCVNEMTUSSX-UHFFFAOYSA-N
COCCN1C(C(=O)N[C@@H]2CCS(=O)(=O)C2)=CC2=C1N(C)C(=O)N(C)C2=O,XTWQHTIANMRJJL-SNVBAGLBSA-N
O=C(N[C@@H]1CS(=O)(=O)C[C@H]1NS(=O)(=O)N1CCCC1)C1=CSC=N1,RKPURXHBQOMSQS-GHMZBOCLSA-N
CC(=O)OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,PAOSLUFSNSSXRZ-YYAHPEQVSA-N
CN1C=C([C@]2(CNS(=O)(=O)C3=CN(C)C(=O)N(C)C3=O)CCCO2)C=N1,PABAXGYEGLGESG-OAHLLOKOSA-N
OCCN(CCO)C1=NC(N(CCO)CCO)=NC(N(CCO)CCO)=N1,XGXKWMBOZAECME-UHFFFAOYSA-N
COC(=O)[C@@H](C)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](N)CC1=CC=C(O)C=C1,JNXSIMBACYZUEN-MISXGVKJSA-N
CN1C=NN=C1SCC(=O)N1CCN(CCO)[C@@H]2CS(=O)(=O)C[C@@H]21,JRPQPSAYDUUDNJ-MNOVXSKESA-N
C[C@H](OC(=O)/C=C/C(=O)O[C@H](C)C(=O)N1CCNC1=O)C(=O)N1CCNC1=O,XPMWSUIIPKAYME-LDYOUVJNSA-N
NC1=NC(I)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,MGEBVSZZNFOIRB-UUOKFMHZSA-N
COC(=O)[C@@H]1[C@H](C(=O)OC)[C@@H]2C(=O)[C@@H]3[C@H](C(=O)OC)[C@H](C(=O)OC)[C@@H]3C(=O)[C@H]12,ABROGWXICUPYEM-UTYLILFRSA-N
CCCN(C(=O)CN1C(=O)C2=C(N=CN2C)N(C)C1=O)[C@@H]1CCS(=O)(=O)C1,NORCYKZLMXZMDE-LLVKDONJSA-N
CNC(=O)C1=CC=C(S(=O)(=O)NC[C@H]2CN(S(C)(=O)=O)CCO2)C=C1,IVMGYXWCAYVVEY-LBPRGKRZSA-N
C[C@H]1[C@H]2[C@H](O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)OC=C(C(=O)O)[C@H]2C[C@H]1O,JNNGEAWILNVFFD-FOOURLSDSA-N
NS(=O)(=O)C1=CC=C(NC(=O)C(=O)NCC2(S(N)(=O)=O)CCC2)C=C1,OECGNUPRFNKTDP-UHFFFAOYSA-N
CN1C=N[C@@H]2[C@H]1C(=O)N(CCN1C(=O)C3=C(N=CN3C)N(C)C1=O)C(=O)N2C,ZQYJZIQYJJRSMA-ONGXEEELSA-N
O=C(NCCO)C(=O)NC[C@H]1OCCCN1S(=O)(=O)C1=CC=CS1,XZOQJDFLUBIKCE-SNVBAGLBSA-N
CN1C(=O)C2=C(N=CN2CCC(=O)NC2=NC(CC(N)=O)=CS2)N(C)C1=O,ONZGDIZBFHTUCN-UHFFFAOYSA-N
CN1C=C(S(=O)(=O)N2CCN(C(=O)C3=C(C(=O)O)C=NN3C)CC2)C=N1,QCYHSLVRNBFGKD-UHFFFAOYSA-N
CCC1=NOC(C)=C1C(=O)N[C@@H]1CS(=O)(=O)C[C@H]1NS(=O)(=O)N(C)C,APKDYVPWMJDKGZ-GHMZBOCLSA-N
O=S(=O)(O)C[C@@H](O)COC1=CC=C(OC[C@H](O)CS(=O)(=O)O)C=C1,ONIDOSJACJFBTP-UWVGGRQHSA-N
O=C(CCN1C(=O)C2=CC=CC=C2C1=O)N[C@H]1[C@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,MMHRYLAHFJNLDZ-IMQBETSWSA-N
CS[C@@H](C(=O)NCC1(O)CN(C(=O)CN2N=CC(=O)NC2=O)C1)C(C)(C)C,HMHDTDWAFHGCRO-LBPRGKRZSA-N
CC1CCN(C2=NC3=C(N=C(N)NC3=O)N2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)CC1,MLZAFEOJTFYGSN-IDTAVKCVSA-N
CN1C(=O)C2=C(N=C(CN3CCN(CCO)CC3)N2CC(N)=O)N(C)C1=O,JEORNRXCKDKAIK-UHFFFAOYSA-N
COCC(=O)N1CCN(C(=O)C2=CC3=NN=CN3C=C2)[C@H]2CS(=O)(=O)C[C@H]21,LSGGHEHSGMSGII-OLZOCXBDSA-N
CC1=NC2=NC(C(=O)OCC(=O)C3=C(N)N(C)C(=O)N(C)C3=O)=NN2C(C)=C1,IGFVSFOGNFOOPD-UHFFFAOYSA-N
COC(=O)C1=CO[C@@H](O[C@H]2O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H]2C(CO)=CC[C@@H]12,IBFYXTRXDNAPMM-FFDIVYBYSA-N
CC1=NN=C2SC(SCC(=O)NC3=CC(=O)N(C)C(=O)N3C)=NN2C1=O,UKAADFRGENEUOV-UHFFFAOYSA-N
